,Brand,Model,Trim,Manufature Year,Stock Type,Mileage,Dealer Name,Distance,Rating,Review Count,Badge Label,Price
0,Toyota,Prius, Prime XLE,2020,Used,"9,150 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Good Deal,"$35,950"
1,Mazda,CX-5, Touring,2020,Used,"14,305 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$31,895"
2,Subaru,Outback, Touring XT,2021,Used,"19,099 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ","Great Deal | $1,605 under","$39,200"
3,Lexus,RX, 450h 450H,2019,Used,"47,401 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$45,400"
4,Jeep,Grand, Cherokee Limited,2019,Used,"33,553 mi.",Antwerpen Chrysler Jeep Dodge Ram,6 mi. from 21227,4.5,"1,939 ",Good Deal,"$40,000"
5,Ford,Expedition, Limited,2020,Used,"73,228 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$48,537"
6,Mercedes-Benz,C-Class, C 300 4MATIC,2019,Mercedes-Benz Certified,"39,629 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$38,900"
7,Acura,MDX, 3.5L Technology Package,2015,Used,"49,499 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Fair Deal,"$29,500"
8,Mazda,CX-5, Touring,2020,Used,"48,512 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $494 under,"$29,400"
9,Nissan,Rogue, SL,2019,Nissan Certified,"53,863 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$27,311"
10,Hyundai,Palisade, SEL,2020,Used,"45,230 mi.",Antwerpen Hyundai of Baltimore,6 mi. from 21227,4.6,"3,023 ",Good Deal,"$42,402"
11,Jeep,Grand, Cherokee Limited,2019,Used,"44,588 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,"Great Deal | $1,474 under","$33,444"
12,Toyota,Highlander, XLE,2016,Used,"62,803 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $736 under,"$26,999"
13,Toyota,Corolla, LE,2020,Used,"46,681 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$20,989"
14,Lexus,ES, 350 F Sport,2019,Used,"13,512 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$43,998"
15,INFINITI,QX50, ESSENTIAL,2019,Used,"33,099 mi.",JBA INFINITI,8 mi. from 21227,4.7,240 ,"Great Deal | $1,140 under","$34,995"
16,Honda,CR-V, EX-L,2019,Used,"49,634 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$32,000"
17,Nissan,Leaf, SL,2012,Used,"48,970 mi.",n/a,9 mi. from 21227,n/a,n/a,n/a,"$9,799"
18,INFINITI,QX60, Base,2016,Used,"66,153 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Fair Deal,"$28,150"
19,Honda,HR-V, LX,2017,Used,"37,489 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Good Deal,"$20,495"
20,Nissan,Rogue, SL,2019,Nissan Certified,"60,727 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$26,765"
21,Chevrolet,Tahoe, LS,2018,Used,"62,377 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $1,008 under","$41,750"
22,Toyota,Sienna, XLE,2014,Used,"60,828 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Great Deal | $550 under,"$23,247"
23,Porsche,Boxster, S,2015,Used,"16,152 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Fair Deal,"$58,990"
24,Nissan,Rogue, S,2020,Nissan Certified,"12,448 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Great Deal | $816 under,"$26,000"
25,Mazda,CX-5, Grand Touring,2019,Used,"59,980 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$26,850"
26,Lexus,RX, 450h 450H,2019,Used,"14,424 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Great Deal | $621 under,"$46,700"
27,Mercedes-Benz,S-Class, S 450 4MATIC,2019,Used,"58,899 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$62,100"
28,Mazda,CX-5, Grand Touring,2019,Used,"22,503 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $909 under,"$33,000"
29,Nissan,Rogue, SV,2018,Nissan Certified,"47,317 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$23,686"
30,Mazda,CX-5, Touring,2019,Used,"34,217 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$29,550"
31,RAM,1500, Laramie,2020,Used,"30,593 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $1,548 under","$49,000"
32,Ford,Explorer, XLT,2018,Used,"47,580 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$32,000"
33,Honda,Civic, Sport,2019,Used,"31,076 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$26,998"
34,Hyundai,Santa, Fe SE 2.4,2019,Used,"83,012 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$21,695"
35,MINI,Countryman, Cooper S ALL4,2015,Used,"49,215 mi.",Auto Leader,8 mi. from 21227,4.6,145 ,Fair Deal,"$19,988"
36,Audi,S5, 3.0T Premium Plus,2018,Used,"37,611 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Fair Deal,"$47,998"
37,Acura,MDX, 3.5L w/Technology Package,2020,Used,"31,878 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Good Deal,"$43,588"
38,Lexus,RX, 350 Base,2013,Used,"86,746 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Fair Deal,"$22,000"
39,BMW,535, i xDrive,2016,Used,"86,982 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Fair Deal,"$23,987"
40,Mercedes-Benz,E-Class, E 350 4MATIC,2012,Used,"69,050 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Fair Deal,"$20,500"
41,Jeep,Grand, Cherokee Limited,2020,Used,"22,086 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $1,652 under","$38,500"
42,Honda,Accord, EX-L,2014,Used,"66,438 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Fair Deal,"$18,997"
43,Honda,Accord, Sport,2018,Used,"50,921 mi.",Tate Used Cars,6 mi. from 21227,4.0,13 ,Fair Deal,"$26,400"
44,Nissan,Rogue, S,2020,Nissan Certified,"23,881 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$25,222"
45,GMC,Terrain, SLT,2019,Used,"47,654 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Great Deal | $357 under,"$28,931"
46,Volkswagen,Atlas, 3.6L SE w/Technology,2019,Used,"31,617 mi.",Heritage Volkswagen Catonsville,6 mi. from 21227,4.8,716 ,"Great Deal | $1,081 under","$33,900"
47,Mazda,CX-5, Touring,2020,Used,"42,113 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $875 under,"$29,280"
48,Toyota,Camry, LE,2019,Used,"20,292 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Good Deal,"$27,000"
49,Toyota,Tundra, Platinum,2019,Used,"28,653 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Great Deal | $496 under,"$49,200"
50,Chevrolet,Silverado, 1500 Custom Trail Boss,2019,Used,"33,332 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Great Deal | $403 under,"$38,995"
51,Lexus,RX, 350 Base,2013,Used,"82,386 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Fair Deal,"$22,739"
52,Mazda,CX-9, Touring,2018,Used,"78,422 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$28,371"
53,Honda,Pilot, EX,2018,Used,"45,050 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,"Great Deal | $3,470 under","$28,599"
54,RAM,1500, Laramie,2020,Used,"19,860 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal | $115 under,"$50,000"
55,Chevrolet,Camaro, 1LT,2018,Used,"49,824 mi.",National Motors of Ellicott City,8 mi. from 21227,4.3,418 ,Good Deal,"$26,500"
56,Chevrolet,Malibu, LT,2018,Used,"90,113 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$17,717"
57,Jeep,Cherokee, Limited,2019,Used,"32,282 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Great Deal | $295 under,"$29,998"
58,Lexus,LX, 570 Base,2014,Used,"75,796 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Fair Deal,"$46,588"
59,Chevrolet,Corvette, Stingray Z51,2016,Used,"10,642 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Fair Deal,"$61,500"
60,Mazda,CX-9, Signature,2018,Used,"67,117 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Good Deal,"$32,500"
61,Subaru,Crosstrek, 2.0i Limited,2019,Used,"59,040 mi.",Wilkins Subaru,6 mi. from 21227,5.0,1 ,Good Deal,"$27,815"
62,Chevrolet,Blazer, Premier,2019,Chevrolet Certified,"20,227 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,6 mi. from 21227,3.2,43 ,CPO Warrantied,"$54,300"
63,Mazda,CX-5, Touring,2019,Used,"23,963 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Good Deal,"$28,500"
64,Chevrolet,Blazer, Premier,2019,Chevrolet Certified,"40,245 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,6 mi. from 21227,3.2,43 ,Fair Deal,"$43,289"
65,Lexus,GX, 460 Base,2020,Used,"38,064 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$53,000"
66,Honda,Civic, Sport,2019,Used,"32,282 mi.",Antwerpen Hyundai of Baltimore,6 mi. from 21227,4.6,"3,023 ",Fair Deal,"$26,500"
67,Subaru,Forester, Premium,2020,Used,"59,913 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Good Deal,"$29,900"
68,Honda,Civic, LX,2019,Used,"33,051 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Fair Deal,"$24,000"
69,GMC,Terrain, SLT,2019,Used,"36,647 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$30,888"
70,Ford,F-150, Lariat,2015,Used,"152,334 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Good Deal,"$27,000"
71,Hyundai,Palisade, SEL,2020,Used,"43,932 mi.",Antwerpen Hyundai of Baltimore,6 mi. from 21227,4.6,"3,023 ",Good Deal,"$42,500"
72,Ford,F-150, XLT,2019,Used,"22,100 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$42,500"
73,Honda,Accord, EX-L,2014,Used,"97,418 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Good Deal,"$16,399"
74,Hyundai,Santa, Fe SE 2.4,2019,Used,"87,997 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$21,757"
75,Audi,Q5, 2.0T Tech Premium,2018,Used,"32,957 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$39,998"
76,Ford,Fusion, SE,2017,Used,"78,970 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$19,998"
77,Audi,Q8, 3.0T Premium,2019,Used,"41,798 mi.",National Motors of Ellicott City,8 mi. from 21227,4.3,418 ,Fair Deal,"$65,985"
78,Subaru,Crosstrek, 2.0i Premium,2018,Used,"40,875 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$24,483"
79,Chevrolet,Trax, LS,2019,Chevrolet Certified,"43,228 mi.",Bob Bell Chevrolet,9 mi. from 21227,4.6,398 ,Good Deal,"$19,918"
80,Mercedes-Benz,M-Class, ML 350 4MATIC,2014,Used,"69,500 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Home Delivery,"$26,995"
81,Nissan,Murano, S,2019,Nissan Certified,"45,539 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Great Deal | $895 under,"$26,999"
82,Toyota,Tacoma, TRD Off Road,2020,Used,"15,876 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Good Deal,"$40,000"
83,Mercedes-Benz,E-Class, E 300,2019,Mercedes-Benz Certified,"27,405 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$45,200"
84,Jeep,Cherokee, Limited,2019,Used,"40,163 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,"Great Deal | $1,079 under","$27,561"
85,Honda,Fit, EX,2019,Used,"26,328 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$20,644"
86,Kia,Forte, LX,2018,Used,"31,297 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Good Deal,"$17,500"
87,Mazda,CX-9, Touring,2018,Used,"62,922 mi.",Heritage Mazda Catonsville,6 mi. from 21227,4.7,788 ,Great Deal | $918 under,"$28,900"
88,Jeep,Wrangler, Unlimited Sport,2017,Used,"60,184 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$32,000"
