,Brand,Model,Trim,Manufature Year,Stock Type,Mileage,Dealer Name,Distance,Rating,Review Count,Badge Label,Price
89,Ford,Escape, SE,2020,Used,"11,071 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $1,260 under","$25,000"
90,Ford,Explorer, XLT,2019,Used,"39,687 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ","Great Deal | $1,074 under","$34,000"
91,Toyota,Tacoma, TRD Off Road,2021,Used,"35,705 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$42,289"
92,Tesla,Model, Y Long Range,2022,Used,"3,896 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal | $544 under,"$77,877"
93,Jeep,Wrangler, Rubicon,2019,Used,"27,302 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$48,998"
94,Chevrolet,Camaro, 2SS,2018,Used,"46,120 mi.",National Motors of Ellicott City,8 mi. from 21227,4.3,418 ,Good Deal,"$40,985"
95,BMW,M3, M3,2008,Used,"53,956 mi.",Baltimore Auto Group,8 mi. from 21227,4.4,8 ,Good Deal,"$31,998"
96,Honda,Accord, SE,2011,Used,"71,521 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Fair Deal,"$17,998"
97,Chevrolet,Traverse, LS Fleet,2020,Used,"85,994 mi.",Bob Bell Chevrolet,9 mi. from 21227,4.6,398 ,Good Deal,"$31,506"
98,Volkswagen,Golf, SportWagen TDI S,2015,Used,"28,710 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Good Deal,"$21,977"
99,Honda,Civic, LX,2018,Used,"41,455 mi.",Destiny Automotive,10 mi. from 21227,4.8,3 ,Good Deal,"$21,500"
100,Chevrolet,Tahoe, LS,2018,Used,"52,570 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,"Great Deal | $2,350 under","$42,000"
101,Subaru,Outback, 2.5i Premium,2013,Used,"85,797 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Fair Deal,"$16,300"
102,Toyota,RAV4, XLE,2018,Toyota Certified,"57,143 mi.",Brown's Toyota of Glen Burnie,6 mi. from 21227,4.8,"3,090 ",Good Deal,"$27,950"
103,Chevrolet,Suburban, LS,2018,Used,"47,463 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Great Deal | $623 under,"$43,990"
104,Porsche,Boxster, Base,2013,Used,"42,129 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Fair Deal,"$40,500"
105,Nissan,Altima, 2.5 S,2017,Used,"72,232 mi.",Ourisman Chevrolet Baltimore - Curbside pickup and home delivery available,6 mi. from 21227,3.2,43 ,Fair Deal,"$21,122"
106,Volkswagen,Atlas, 3.6L SE w/Technology,2019,Used,"60,066 mi.",Heritage Volkswagen Catonsville,6 mi. from 21227,4.8,716 ,"Great Deal | $1,075 under","$30,900"
107,RAM,1500, Express,2017,Used,"40,974 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$29,500"
108,Ford,Explorer, XLT,2016,Used,"89,004 mi.",Bob Bell Ford Hyundai,6 mi. from 21227,4.5,618 ,Good Deal,"$25,353"
109,Ford,Fusion, SE,2018,Used,"46,889 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$23,000"
110,Ford,Expedition, XLT,2020,Used,"56,942 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$53,000"
111,Ford,Mustang, EcoBoost Premium,2020,Used,"47,783 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$31,000"
112,Chevrolet,Malibu, LT,2018,Used,"93,307 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$16,994"
113,Ford,EcoSport, SE,2018,Used,"43,865 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Great Deal | $122 under,"$18,689"
114,BMW,330, i xDrive,2018,Used,"17,587 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$33,998"
115,BMW,X1, sDrive28i,2017,Used,"63,028 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Fair Deal,"$26,998"
116,Mazda,CX-5, Touring,2019,Used,"35,775 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$25,489"
117,Toyota,Tundra, SR5,2021,Used,"41,907 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Great Deal | $994 under,"$42,987"
118,Toyota,Highlander, Limited,2013,Used,"80,414 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Fair Deal,"$22,987"
119,RAM,1500, Big Horn,2020,Used,"16,410 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Fair Deal,"$41,975"
120,BMW,X5, xDrive35i,2015,Used,"120,500 mi.",Bumble Auto,4 mi. from 21227,5.0,135 ,Good Deal,"$21,995"
121,Subaru,Crosstrek, Premium,2020,Used,"36,022 mi.",Wilkins Subaru,6 mi. from 21227,5.0,1 ,Good Deal,"$28,399"
122,Toyota,4Runner, SR5,2018,Toyota Certified,"39,146 mi.",Brown's Toyota of Glen Burnie,6 mi. from 21227,4.8,"3,090 ",Great Deal | $358 under,"$35,900"
123,Mercedes-Benz,E-Class, E 550,2011,Used,"77,752 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$19,990"
124,Toyota,4Runner, SR5 Premium,2019,Toyota Certified,"39,186 mi.",Brown's Toyota of Glen Burnie,6 mi. from 21227,4.8,"3,090 ","Great Deal | $1,025 under","$39,500"
125,Volkswagen,Tiguan, 2.0T SE,2018,Used,"100,446 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ",Fair Deal,"$22,500"
126,RAM,1500, Express,2018,Used,"39,737 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Great Deal | $520 under,"$33,995"
127,Acura,MDX, 3.5L,2019,Used,"29,500 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal | $117 under,"$37,000"
128,Honda,Civic, EX,2015,Used,"62,651 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $530 under,"$16,299"
129,Ford,Fusion, SE,2018,Used,"46,819 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$20,500"
130,Toyota,Camry, LE,2017,Used,"121,011 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Good Deal,"$14,999"
131,Land,Rover, Defender S,2020,Used,"22,701 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Fair Deal,"$69,500"
132,Toyota,Tacoma, SR5,2018,Used,"49,674 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$28,998"
133,Tesla,Model, 3 Performance,2022,Used,432 mi.,Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$75,991"
134,Hyundai,Santa, Fe SE 2.4,2019,Used,"78,448 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$22,327"
135,BMW,X1, xDrive28i,2018,Used,"34,761 mi.",EchoPark Automotive Baltimore,8 mi. from 21227,4.8,"2,826 ",Good Deal,"$29,369"
136,Hyundai,Santa, Fe SE 2.4,2019,Used,"84,562 mi.",Nissan Ellicott City,8 mi. from 21227,4.4,"1,102 ",Good Deal,"$22,129"
137,BMW,435, i,2014,Used,"110,493 mi.",National Motors of Ellicott City,8 mi. from 21227,4.3,418 ,Great Deal | $498 under,"$19,995"
138,Subaru,WRX, Premium,2021,Used,"11,639 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$35,500"
139,Honda,Pilot, EX-L,2014,Used,"119,593 mi.",Norris Auto Group,10 mi. from 21227,4.6,311 ,Great Deal | $726 under,"$17,987"
140,Chevrolet,Silverado, 1500 LT,2015,Used,"65,959 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$32,000"
141,Jeep,Compass, Sport,2018,Used,"37,815 mi.",Antwerpen Chrysler Jeep Dodge Ram,6 mi. from 21227,4.5,"1,939 ",Good Deal,"$22,931"
142,Honda,Civic, EX,2012,Used,"85,557 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Fair Deal,"$14,200"
143,Toyota,Camry, Hybrid SE,2020,Used,"22,931 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$33,990"
144,Lexus,ES, 350 Base,2021,Used,"12,052 mi.",Carvana-Touchless Delivery To Your Home,n/a,4.2,"8,920 ",Good Deal,"$42,990"
145,Lincoln,MKZ, Reserve I,2019,Used,"48,446 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$28,500"
146,GMC,Sierra, 1500 SLE,2020,Used,"34,579 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal | $134 under,"$42,500"
147,Land,Rover, Range Rover 5.0L Supercharged,2018,Used,"38,255 mi.",Mercedes-Benz of Catonsville,6 mi. from 21227,4.2,412 ,Good Deal,"$84,000"
148,Subaru,Legacy, ,2021,Used,"30,250 mi.",Heritage Subaru Catonsville,6 mi. from 21227,4.8,"1,140 ",Good Deal,"$32,000"
149,Nissan,Rogue, S,2017,Nissan Certified,"60,845 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$20,777"
150,Ford,F-150, XL,2019,Used,"14,972 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$39,000"
151,Ford,F-150, XLT,2019,Used,"40,737 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$41,500"
152,Acura,TL, Technology,2009,Used,"119,774 mi.",Star Cars,7 mi. from 21227,4.4,26 ,Fair Deal,"$12,999"
153,Acura,MDX, ,2008,Used,"121,104 mi.",Star Cars,7 mi. from 21227,4.4,26 ,"Great Deal | $4,228 under","$11,999"
154,Honda,Civic, EX,2015,Used,"94,971 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Good Deal,"$14,999"
155,Toyota,Camry, XSE,2018,Used,"58,301 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$29,998"
156,BMW,430, Gran Coupe i xDrive,2019,Used,"42,074 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$32,998"
157,Acura,MDX, 3.7L Technology,2013,Used,"97,198 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$23,998"
158,Nissan,Altima, 2.5 S,2017,Used,"73,037 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Great Deal | $766 under,"$14,977"
159,Toyota,Tacoma, SR,2019,Used,"44,551 mi.",Ourisman Chrysler Dodge Jeep Ram of Baltimore,10 mi. from 21227,4.3,98 ,Good Deal,"$35,975"
160,Porsche,911, Carrera S,2017,Used,"22,000 mi.",n/a,5 mi. from 21227,n/a,n/a,Good Deal,"$124,500"
161,Chevrolet,Colorado, WT,2019,Used,"43,181 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Great Deal | $237 under,"$26,000"
162,Nissan,Rogue, S,2017,Used,"91,501 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$17,237"
163,Lincoln,MKC, Standard,2019,Used,"31,355 mi.",JBA Chevrolet Mitsubishi,6 mi. from 21227,4.5,385 ,Good Deal,"$30,000"
164,Nissan,370Z, Base,2020,Nissan Certified,"37,713 mi.",Sheehy Nissan of Glen Burnie,6 mi. from 21227,4.8,985 ,Good Deal,"$33,380"
165,Chevrolet,Cruze, 1LT,2015,Used,"73,664 mi.",WILKINS BUICK-GMC,6 mi. from 21227,4.7,681 ,Good Deal,"$12,665"
166,Toyota,Tacoma, SR,2019,Used,"92,930 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ","Great Deal | $1,131 under","$25,000"
167,Chevrolet,Tahoe, LT,2020,Used,"29,529 mi.",Heritage Toyota Catonsville,6 mi. from 21227,4.6,"1,497 ","Great Deal | $3,414 under","$52,000"
168,Subaru,WRX, Limited,2020,Used,"18,497 mi.",Wilkins Subaru,6 mi. from 21227,5.0,1 ,Good Deal,"$35,596"
169,Ford,EcoSport, SE,2018,Used,"52,068 mi.",Koons Ford of Baltimore,7 mi. from 21227,4.8,"1,600 ",Good Deal,"$19,000"
170,Toyota,Camry, LE,2016,Used,"67,508 mi.",Autoprovit,7 mi. from 21227,5.0,3 ,Great Deal | $690 under,"$16,999"
171,Lexus,ES, 350 Base,2016,Used,"54,522 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Fair Deal,"$30,998"
172,Lexus,ES, 350 Base,2013,Used,"116,902 mi.",JBA INFINITI,8 mi. from 21227,4.7,240 ,Fair Deal,"$19,995"
173,Buick,Regal, TourX Preferred,2019,Used,"24,977 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Great Deal | $486 under,"$28,998"
174,BMW,428, i SULEV,2016,Used,"67,159 mi.",Auto Leader,8 mi. from 21227,4.6,145 ,Fair Deal,"$29,488"
175,Chevrolet,Trax, LS,2019,Used,"30,628 mi.",CarMax Ellicott City - Now offering Curbside Pickup,8 mi. from 21227,4.5,8 ,Good Deal,"$19,998"
176,INFINITI,QX60, Base,2018,Used,"53,064 mi.",Rich Morton Mazda,9 mi. from 21227,4.6,736 ,Good Deal,"$33,988"
177,Chevrolet,Corvette, Stingray Z51,2016,Used,"21,393 mi.",Apple Ford Lincoln,9 mi. from 21227,4.5,910 ,Good Deal,"$56,000"
178,Chevrolet,Express, 3500 LS,2015,Used,"44,254 mi.",Car Corporation of Maryland,10 mi. from 21227,4.3,98 ,Fair Deal,"$29,995"
179,Volkswagen,Golf, GTI 2.0T S 4-Door,2018,Used,"86,723 mi.",Antwerpen Volkswagen,10 mi. from 21227,4.3,401 ,Good Deal,"$23,000"
